Compound,InChIKey,CAS,Constants,Types,Temperature
hexanamide,ALBYIUDWACNRRB-UHFFFAOYSA-N,628-02-4,['1.8E+03'],['?'],[25.0]
N-butylacetamide,GYLDXXLJMRTVSS-UHFFFAOYSA-N,1119-49-9,"['2.7E+03', '5.2E+02']","['M', 'Q']","[25.0, 25.0]"
N-(1-methylethyl)-N-nitroso-2-propanamine,AUIKJTGFPFLMFP-UHFFFAOYSA-N,601-77-4,"['1.2E+00', '3.4E-01', '1.1E+00']","['M', 'Q', 'Q']","[25.0, 25.0, 25.0]"
N-nitrosodipropylamine,YLKFDHTUAUWZPQ-UHFFFAOYSA-N,621-64-7,"['1.8E+00', '2.8E+00', '2.8E+00', '1.6E+00', '5.8E+00', '1.3E+00']","['M', 'V', 'V', 'C', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
N-(2-hydroxyethyl)piperazine,WFCSWCVEJLETKA-UHFFFAOYSA-N,103-76-4,['2.9E+03'],['M'],[6126.85]
N-ethyldiethanolamine,AKNUHUCEWALCOI-UHFFFAOYSA-N,139-87-7,['9.0E+04'],['Q'],[25.0]
triethanolamine,GSEJCLTVZPLZKY-UHFFFAOYSA-N,102-71-6,"['1.4E+07', '1.4E+07', '3.3E+07']","['V', 'V', 'Q']","[25.0, 25.0, 25.0]"
$o$-aminophenol,CDAWCLOXVUBKRW-UHFFFAOYSA-N,95-55-6,['4.9E+04'],['Q'],[25.0]
4-aminophenol,PLIKAWJENQZMHA-UHFFFAOYSA-N,123-30-8,"['2.7E+04', '2.7E+04', '1.8E+04']","['V', 'V', 'Q']","[25.0, 25.0, 25.0]"
3-aminophenol,CWLKGDAVCFYWJK-UHFFFAOYSA-N,591-27-5,['3.7E+04'],['Q'],[25.0]
4-(2-hydroxyethyl)morpholine,KKFDCBRMNNSAAW-UHFFFAOYSA-N,622-40-2,"['1.4E+03', '6.0E+01', '1.7E+03']","['M', 'Q', 'Q']","[25.0, 25.0, 25.0]"
4-hydroxy-N-methylpiperidine,BAUWRHPMUVYFOD-UHFFFAOYSA-N,106-52-5,"['1.3E+03', '4.6E+03', '1.1E+03']","['M', 'Q', 'Q']","[25.0, 25.0, 25.0]"
dimethylaminoethoxyethanol,YSAANLSYLSUVHB-UHFFFAOYSA-N,1704-62-7,"['8.3E+02', '4.3E+03', '5.6E+02', '6.2E+02']","['M', 'M', 'Q', 'Q']","[25.0, 8226.85, 25.0, 25.0]"
2-(diethylamino)ethanol,BFSVOASYOCHEOV-UHFFFAOYSA-N,100-37-8,"['5.9E+00', '3.2E+00', '1.8E+01']","['M', 'Q', 'Q']","[25.0, 25.0, 25.0]"
bis(2-methoxyethyl)amine,IBZKBSXREAQDTO-UHFFFAOYSA-N,111-95-5,"['1.1E+02', '2.3E+02', '1.5E+02']","['M', 'Q', 'Q']","[25.0, 25.0, 25.0]"
cyclohexanone oxime,VEZUQRBDRNJBJY-UHFFFAOYSA-N,100-64-1,"['4.3E+01', '1.4E+01']","['V', 'Q']","[25.0, 25.0]"
$p$-diaminoanisole,HGUYBLVGLMAUFF-UHFFFAOYSA-N,5307-02-8,['2.5E+05'],['Q'],[25.0]
"4-methoxy-1,3-benzenediamine",BAHPQISAXRFLCL-UHFFFAOYSA-N,615-05-4,['1.4E+04'],['Q'],[25.0]
2-cyano-N-[(ethylamino)carbonyl]-2-(methoxyimino)acetamide,XERJKGMBORTKEO-UHFFFAOYSA-N,57966-95-7,"['3.0E+04', '3.0E+04', '6.2E+02', '9.9E+08', '3.2E+01', '2.6E+04', '3.0E+04']","['V', 'V', 'X', 'Q', 'Q', '?', '?']","[25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
isocyanatocyclohexane,KQWGXHWJMSMDJJ-UHFFFAOYSA-N,3173-53-3,['5.8E-03'],['Q'],[25.0]
$L$-theanine,DATAGRPVKZEWHA-YFKPBYRVSA-N,3081-61-6,['1.1E+10'],['Q'],[25.0]
tetryl,AGUIVNYEYSCPNI-UHFFFAOYSA-N,479-45-8,['3.7E+03'],['Q'],[25.0]
anthranilic acid,RWZYAGGXGHYGMB-UHFFFAOYSA-N,118-92-3,['2.6E+05'],['Q'],[25.0]
3-aminobenzoic acid,XFDUHJPVQKIXHO-UHFFFAOYSA-N,99-05-8,['3.7E+06'],['?'],[25.0]
4-aminobenzoic acid,ALYNCZNDIQEVRV-UHFFFAOYSA-N,150-13-0,['6.6E+04'],['V'],[25.0]
salicylamide,SKZKKFZAGNVIMN-UHFFFAOYSA-N,65-45-2,"['2.0E+04', '3.4E+04']","['Q', 'Q']","[25.0, 25.0]"
mesalamine,KBOPZPXVLCULAV-UHFFFAOYSA-N,89-57-6,['2.0E+06'],['Q'],[25.0]
N-phenylformamide,DYDNPESBYVVLBO-UHFFFAOYSA-N,103-70-8,['1.2E+03'],['Q'],[25.0]
benzamide,KXDAEFPNCMNJSK-UHFFFAOYSA-N,55-21-0,"['2.2E+04', '4.7E+04', '5.2E+03', '9.0E+02', '3.8E+03', '2.7E+04', '8.2E+03', '4.0E+04', '4.0E+04']","['V', 'R', 'Q', 'Q', 'Q', 'Q', 'Q', '?', '?']","[25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
anthranilamide,PXBFMLJZNCDSMP-UHFFFAOYSA-N,88-68-6,['1.3E+07'],['Q'],[25.0]
N-methyl-N-nitrosobenzenamine,MAXCWSIJKVASQC-UHFFFAOYSA-N,614-00-6,['2.0E+00'],['Q'],[25.0]
2-methoxy-benzenamine,VMPITZXILSNTON-UHFFFAOYSA-N,90-04-0,"['1.1E+01', '1.2E+01', '6.7E+01', '1.1E+01', '2.8E+01', '5.6E+00', '1.5E+01']","['V', 'R', 'Q', 'Q', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
3-methoxy-benzenamine,NCBZRJODKRCREW-UHFFFAOYSA-N,536-90-3,"['9.0E+01', '9.0E+01', '1.8E+02', '2.8E+01', '6.4E+01', '1.5E+01']","['R', 'Q', 'Q', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
4-methoxy-benzenamine,BHAAPTBBJKJZER-UHFFFAOYSA-N,104-94-9,"['1.5E+02', '1.2E+02', '1.8E+02', '5.8E+01', '1.4E+02', '2.8E+01', '9.9E+01', '1.5E+01', '1.5E+02']","['M', 'R', 'Q', 'Q', 'Q', 'Q', 'Q', 'Q', '?']","[25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
4-(methylamino)phenol,ZFIQGRISGKSVAG-UHFFFAOYSA-N,150-75-4,['2.2E+04'],['Q'],[25.0]
"3-(diethylamino)-1,2-propanediol",LTACQVCHVAUOKN-UHFFFAOYSA-N,621-56-7,"['5.4E+02', '7.0E+02', '2.6E+02']","['M', 'Q', 'Q']","[25.0, 25.0, 25.0]"
1-(2-hydroxyethyl)piperidine,KZTWONRVIPPDKH-UHFFFAOYSA-N,3040-44-6,"['5.1E+01', '6.1E-01', '4.9E+01']","['M', 'Q', 'Q']","[25.0, 25.0, 25.0]"
2-piperidineethanol,PTHDBHDZSMGHKF-UHFFFAOYSA-N,1484-84-0,"['3.9E+02', '1.2E+02', '2.3E+02']","['M', 'Q', 'Q']","[25.0, 25.0, 25.0]"
emylcamate,SLWGJZPKHAXZQL-UHFFFAOYSA-N,78-28-4,"['3.0E-01', '8.7E+00']","['V', 'Q']","[25.0, 25.0]"
defenuron,SQBHGDSDVWCPHN-UHFFFAOYSA-N,1007-36-9,['8.5E+05'],['?'],[25.0]
N-methyl-N-nitrosobenzenemethanamine,NGXUJKBJBFLCAR-UHFFFAOYSA-N,937-40-6,"['7.9E-01', '1.2E+02', '3.8E+01']","['M', 'Q', 'Q']","[25.0, 25.0, 25.0]"
norepinephrine,SFLSHLFXELFNJZ-QMMMGPOBSA-N,51-41-2,['3.1E+13'],['Q'],[25.0]
"2,4-dimethoxyaniline",GEQNZVKIDIPGCO-UHFFFAOYSA-N,2735-04-8,['1.6E+01'],['?'],[25.0]
4-methoxy-2-methylbenzenamine,CDGNLUSBENXDGG-UHFFFAOYSA-N,102-50-1,['8.2E+01'],['Q'],[25.0]
$p$-cresidine,WXWCDTXEKCVRRO-UHFFFAOYSA-N,120-71-8,['8.0E+01'],['Q'],[25.0]
N-nitrosodi-N-butylamine,YGJHZCLPZAZIHH-UHFFFAOYSA-N,924-16-3,"['7.2E-01', '7.5E-01', '1.1E+00']","['M', 'Q', 'Q']","[25.0, 25.0, 25.0]"
(diisopropylamino)-ethanol,ZYWUVGFIXPNBDL-UHFFFAOYSA-N,96-80-0,"['2.2E+00', '2.3E+00', '2.4E+00', '1.9E+02', '8.2E+01']","['M', 'Q', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0, 25.0]"
phthalamide,NAYYNDKKHOIIOD-UHFFFAOYSA-N,88-96-0,['7.0E+06'],['Q'],[25.0]
acetaminophen,RZVAJINKPMORJF-UHFFFAOYSA-N,103-90-2,['1.5E+07'],['Q'],[25.0]
methyl anthranilate,VAMXMNNIEUEQDV-UHFFFAOYSA-N,134-20-3,"['5.2E+00', '5.2E+00', '3.6E+00', '2.6E+02']","['V', 'V', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0]"
4'-aminoacetophenone,GPRYKVSEZCQIHD-UHFFFAOYSA-N,99-92-3,['2.2E+03'],['Q'],[25.0]
N-phenylacetamide,FZERHIULMFGESH-UHFFFAOYSA-N,103-84-4,"['4.7E+02', '1.5E+03', '1.6E+03']","['X', 'Q', 'Q']","[25.0, 25.0, 25.0]"
tropine,CYHOMWAPJJPNMW-UHFFFAOYSA-N,120-29-6,"['1.3E+03', '2.6E+03', '5.6E+02']","['M', 'Q', 'Q']","[25.0, 25.0, 25.0]"
"bis[2-(N,N-dimethylamino)ethyl] ether",GTEXIOINCJRBIO-UHFFFAOYSA-N,3033-62-3,"['7.9E+01', '2.4E+02', '7.9E+01']","['M', 'Q', 'Q']","[25.0, 25.0, 25.0]"
"methylcarbamic acid, 3-methylphenyl ester",VOEYXMAFNDNNED-UHFFFAOYSA-N,1129-41-5,['1.2E+04'],['V'],[25.0]
"phenylcarbamic acid, ethyl ester",LBKPGNUOUPTQKA-UHFFFAOYSA-N,101-99-5,['3.4E+02'],['Q'],[25.0]
ethyl anthranilate,TWLLPUMZVVGILS-UHFFFAOYSA-N,87-25-2,['6.2E+02'],['Q'],[25.0]
benzocaine,BLFLLBZGZJTVJG-UHFFFAOYSA-N,94-09-7,['6.2E+02'],['Q'],[25.0]
1-(4-aminophenyl)-1-propanone,FSWXOANXOQPCFF-UHFFFAOYSA-N,70-69-9,['2.1E+03'],['Q'],[25.0]
(4-ethoxyphenyl)urea,GGLIEWRLXDLBBF-UHFFFAOYSA-N,150-69-6,['6.2E+05'],['Q'],[25.0]
fenuron,XXOYNJXVWVNOOJ-UHFFFAOYSA-N,101-42-8,"['4.9E+03', '8.7E+02', '3.7E+03', '3.6E+01', '9.6E+00', '1.0E+04', '4.4E+00']","['V', 'V', 'V', 'X', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
epinephrine,UCTWMZQNUQWSLP-UHFFFAOYSA-N,51-43-4,['1.4E+13'],['Q'],[25.0]
meprobamate,NPPQSCRMBWNHMW-UHFFFAOYSA-N,57-53-4,['5.5E+04'],['Q'],[25.0]
propamocarb,WZZLDXDUQPOXNW-UHFFFAOYSA-N,24579-73-5,"['2.1E+03', '1.6E+03', '1.6E+03', '3.3E+02', '6.7E+03', '1.2E+08']","['Q', 'Q', 'Q', 'Q', '?', '?']","[25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
proximpham,LATYTXGNKNKTDS-UHFFFAOYSA-N,2828-42-4,['3.9E+03'],['?'],[25.0]
dioxacarb,SDKQRNRRDYRQKY-UHFFFAOYSA-N,6988-21-2,"['6.7E+05', '2.2E+04', '6.7E+05']","['V', 'Q', '?']","[25.0, 25.0, 25.0]"
"phenol, 3,5-dimethyl-, methylcarbamate",CVQODEWAPZVVBU-UHFFFAOYSA-N,2655-14-3,"['5.5E+01', '9.1E+00', '2.5E+02', '4.3E+02']","['V', 'Q', 'Q', '?']","[25.0, 25.0, 25.0, 25.0]"
"phenylcarbamic acid, 1-methylethyl ester",VXPLXMJHHKHSOA-UHFFFAOYSA-N,122-42-9,"['5.4E+01', '5.5E+01', '3.2E-02']","['V', 'V', 'Q']","[25.0, 25.0, 25.0]"
xylylcarb,WCJYTPVNMWIZCG-UHFFFAOYSA-N,2425-10-7,"['9.1E+01', '9.4E+01', '9.1E+00']","['M', 'V', 'Q']","[25.0, 25.0, 25.0]"
phenacetin,CPJSUEIXXCENMM-UHFFFAOYSA-N,62-44-2,"['4.6E+04', '4.7E+04', '2.7E+00']","['V', 'V', 'Q']","[25.0, 25.0, 25.0]"
ephedrine,KWGRBVOPPLSCSI-PSASIEDQSA-N,299-42-3,['1.1E+05'],['Q'],[25.0]
$m$-cumenyl methylcarbamate,GYKXQTKSWLAUIT-UHFFFAOYSA-N,64-00-6,['1.6E+02'],['Q'],[25.0]
propoxur,ISRUGXGCCGIOQO-UHFFFAOYSA-N,114-26-1,"['2.9E+03', '5.1E+05', '7.1E+03', '7.7E+00', '7.6E-02', '1.4E+00']","['V', 'V', 'V', 'V', 'X', 'Q']","[25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
methocarbamol,GNXFOGHNGIVQEH-UHFFFAOYSA-N,532-03-6,['1.5E+10'],['Q'],[25.0]
aminocarb,IMIDOCRTMDIQIJ-UHFFFAOYSA-N,2032-59-9,"['1.9E+03', '1.8E+04']","['V', 'Q']","[25.0, 25.0]"
monodesmethylisoproturon,DOULWWSSZVEPIN-UHFFFAOYSA-N,34123-57-4,['2.8E+05'],['V'],[25.0]
cycluron,DQZCVNGCTZLGAQ-UHFFFAOYSA-N,2163-69-1,['8.2E+02'],['Q'],[25.0]
methylneodecanamide,GELCOLZWXWHMIB-UHFFFAOYSA-N,105726-67-8,['4.1E+01'],['Q'],[25.0]
isoprocarb,QBSJMKIUCUGGNG-UHFFFAOYSA-N,2631-40-5,"['7.4E+02', '7.6E+00']","['V', 'Q']","[25.0, 25.0]"
4-(phenylazo)phenol,BEYOBVMPDRKTNR-UHFFFAOYSA-N,1689-82-3,"['1.5E+04', '1.5E+04', '1.0E+04']","['V', 'V', 'Q']","[25.0, 25.0, 25.0]"
1-naphthaleneacetamide,XFNJVKMNNVCYEK-UHFFFAOYSA-N,86-86-2,['9.8E+07'],['?'],[25.0]
carbetamide,AMRQXHFXNZFDCH-UHFFFAOYSA-N,16118-49-3,"['1.1E+00', '3.7E+00', '5.2E+07']","['X', 'Q', '?']","[25.0, 25.0, 25.0]"
N-nitrosodiphenylamine,UBUCNCOMADRQHX-UHFFFAOYSA-N,86-30-6,"['8.7E-03', '8.7E-03', '1.5E-02', '8.2E+00']","['V', 'V', 'C', 'Q']","[25.0, 25.0, 25.0, 25.0]"
carbaryl,CVXBEEMKQHEXEN-UHFFFAOYSA-N,63-25-2,"['9.9E+01', '3.6E+03', '3.0E+03', '2.2E+04', '2.3E+03', '7.7E+02', '7.6E+01', '2.3E+03', '3.5E+03', '1.2E+02', '8.1E+00', '1.4E+03', '3.1E+03']","['M', 'M', 'V', 'V', 'V', 'V', 'X', 'X', 'C', 'Q', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
"4,4'-oxybisbenzenamine",HLBLWEWZXPIGSM-UHFFFAOYSA-N,101-80-4,['6.6E+05'],['Q'],[25.0]
carbofuran,DUEPRVBVGDRKAG-UHFFFAOYSA-N,1563-66-2,"['2.4E+01', '9.9E+01', '2.2E+04', '2.0E+04', '2.0E+03', '1.9E+01', '4.6E+01']","['M', 'M', 'V', 'V', 'V', 'X', 'Q']","[25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
"phenol, 3-methyl-5-(1-methylethyl)-, methylcarbamate",DTAPQAJKAFRNJB-UHFFFAOYSA-N,2631-37-0,"['1.1E+02', '1.1E+02', '4.1E+00', '3.1E+02']","['V', 'V', 'Q', '?']","[25.0, 25.0, 25.0, 25.0]"
fenobucarb,DIRFUJHNVNOBMY-UHFFFAOYSA-N,3766-81-2,"['1.5E+02', '1.7E+02', '8.2E+00']","['M', 'V', 'Q']","[25.0, 25.0, 25.0]"
diethyltoluamide,MMOXZBCLCQITDF-UHFFFAOYSA-N,134-62-3,['4.7E+02'],['Q'],[25.0]
"N,N-dimethyl-N'-[4-(1-methylethyl)phenyl]-urea",PUIYMUZLKQOUOZ-UHFFFAOYSA-N,34123-59-6,"['8.8E+04', '8.1E+04', '9.5E+04', '1.1E+05', '2.3E+00']","['V', 'V', 'V', 'V', 'Q']","[25.0, 25.0, 25.0, 25.0, 25.0]"
dimorpholinodiethyl ether,ZMSQJSMSLXVTKN-UHFFFAOYSA-N,6425-39-4,['1.8E+03'],['M'],[2326.85]
carisoprodol,OFZCIYFFPZCNJE-UHFFFAOYSA-N,78-44-4,['1.4E+04'],['Q'],[25.0]
4-hydroxy-4'-nitroazobenzene,NRJPVIOTANUINF-YPKPFQOOSA-N,1435-60-5,"['4.0E+05', '1.4E+06']","['V', 'Q']","[25.0, 25.0]"
"2,4-dinitro-N-phenyl-benzenamine",RHTVQEPJVKUMPI-UHFFFAOYSA-N,961-68-2,"['1.3E+04', '6.6E+05']","['V', 'Q']","[25.0, 25.0]"
"N-(2,4-dinitrophenyl)-N-(4-hydroxyphenyl)amine",BCPQALWAROJVLE-UHFFFAOYSA-N,119-15-3,"['6.8E+06', '1.4E+09']","['V', 'Q']","[25.0, 25.0]"
disperse orange 3,UNBOSJFEZZJZLR-UHFFFAOYSA-N,730-40-5,"['3.5E+04', '1.9E+05']","['V', 'Q']","[25.0, 25.0]"
diethylpropion,XXEPPPIWZFICOJ-UHFFFAOYSA-N,90-84-6,['4.3E+01'],['Q'],[25.0]
salbutamol,NDAUXUAQIAJITI-UHFFFAOYSA-N,18559-94-9,['1.5E+10'],['Q'],[25.0]
disperse blue 1,JSFUMBWFPQSADC-UHFFFAOYSA-N,2475-45-8,['4.7E+01'],['V'],[25.0]
"3,3'-dimethoxybenzidine",JRBJSXQPQWSCCF-UHFFFAOYSA-N,119-90-4,['2.1E+05'],['Q'],[25.0]
aspartame,IAOZJIPTCAWIRG-QWRGUYRKSA-N,22839-47-0,['3.9E+12'],['Q'],[25.0]
dinobuton,HDWLUGYOLUHEMN-UHFFFAOYSA-N,973-21-7,['6.2E+02'],['Q'],[25.0]
N-(2-methylcyclohexyl)-N'-phenylurea,JXVIIQLNUPXOII-UHFFFAOYSA-N,1982-49-6,['1.5E+05'],['V'],[25.0]
butralin,SPNQRCTZKIBOAX-UHFFFAOYSA-N,33629-47-9,"['2.0E+00', '2.0E+00']","['V', 'V']","[25.0, 25.0]"
lauramine oxide,SYELZBGXAIXKHU-UHFFFAOYSA-N,1643-20-5,['1.5E+05'],['Q'],[25.0]
2-aminoanthraquinone,XOGPDSATLSAZEK-UHFFFAOYSA-N,117-79-3,"['1.1E+05', '1.1E+05', '3.1E+05']","['V', 'V', 'Q']","[25.0, 25.0, 25.0]"
"1-amino-9,10-anthracenedione",KHUFHLFHOQVFGB-UHFFFAOYSA-N,82-45-1,"['2.0E+03', '9.8E+04']","['V', 'Q']","[25.0, 25.0]"
"1-amino-4-hydroxy-9,10-anthracenedione",AQXYVFBSOOBBQV-UHFFFAOYSA-N,116-85-8,"['3.8E+05', '4.2E+05']","['V', 'Q']","[25.0, 25.0]"
"1,4-diamino-9,10-anthracenedione",FBMQNRKSAWNXBT-UHFFFAOYSA-N,128-95-0,"['2.1E+04', '1.3E+07']","['V', 'Q']","[25.0, 25.0]"
"N,N-dimethyl-4-[(4-nitrophenyl)azo]-benzenamine",LSFRFLVWCKLQTO-UHFFFAOYSA-N,2491-74-9,"['1.5E+02', '1.0E+04']","['V', 'Q']","[25.0, 25.0]"
karbutilate,OWNAXTAAAQTBSP-UHFFFAOYSA-N,4849-32-5,['1.8E+08'],['?'],[25.0]
diethofencarb,LNJNFVJKDJYTEU-UHFFFAOYSA-N,87130-20-9,"['1.2E+01', '1.3E-01']","['V', 'Q']","[25.0, 25.0]"
"1-amino-2-methyl-9,10-anthracenedione",ZLCUIOWQYBYEBG-UHFFFAOYSA-N,82-28-0,['8.2E+06'],['Q'],[25.0]
N-2-fluorenylacetamide,CZIHNRWJTSTCEX-UHFFFAOYSA-N,53-96-3,['5.2E+04'],['Q'],[25.0]
tebutam,RJKCKKDSSSRYCB-UHFFFAOYSA-N,35256-85-0,"['3.8E+01', '1.5E-01', '6.7E+01']","['V', 'Q', '?']","[25.0, 25.0, 25.0]"
isopropalin,NEKOXWSIMFDGMA-UHFFFAOYSA-N,33820-53-0,['1.9E-01'],['V'],[25.0]
dodine,YIKWKLYQRFRGPM-UHFFFAOYSA-N,2439-10-3,"['1.1E+05', '9.9E+05', '1.1E+05']","['V', 'Q', '?']","[25.0, 25.0, 25.0]"
metalaxyl,ZQEIXNIJLIKNTD-UHFFFAOYSA-N,57837-19-1,"['3.3E+03', '4.0E+04', '8.5E+04']","['V', 'V', 'V']","[25.0, 25.0, 25.0]"
metalaxyl-m,ZQEIXNIJLIKNTD-GFCCVEGCSA-N,70630-17-0,"['2.8E+04', '2.1E+02', '2.9E+04']","['V', 'Q', '?']","[25.0, 25.0, 25.0]"
metoprolol,IUBSYMUCCVWXPE-UHFFFAOYSA-N,37350-58-6,['4.7E+05'],['Q'],[25.0]
1-(methylamino)anthraquinone,SVTDYSXXLJYUTM-UHFFFAOYSA-N,82-38-2,"['3.3E+02', '7.1E+04']","['V', 'Q']","[25.0, 25.0]"
4'-[(2-hydroxy-5-methylphenyl)azo]acetanilide,PXOZAFXVEWKXED-UHFFFAOYSA-N,2832-40-8,"['6.6E+05', '3.2E+05']","['V', 'Q']","[25.0, 25.0]"
desmedipham,WZJZMXBKUWKXTQ-UHFFFAOYSA-N,13684-56-5,['2.3E+06'],['?'],[25.0]
phenmedipham,IDOWTHOLJBTAFI-UHFFFAOYSA-N,13684-63-4,"['1.2E+07', '1.2E+07', '1.2E+05', '4.5E+00', '5.3E+02', '2.0E+07']","['V', 'V', 'X', 'Q', 'Q', '?']","[25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
fenam,QAHFOPIILNICLA-UHFFFAOYSA-N,957-51-7,"['2.7E+05', '4.1E+05', '2.7E+05', '4.9E+01']","['V', 'V', 'V', 'Q']","[25.0, 25.0, 25.0, 25.0]"
difenoxuron,AMVYOVYGIJXTQB-UHFFFAOYSA-N,14214-32-5,['5.6E+07'],['?'],[25.0]
butacarb,SLZWBCGZQRRUNG-UHFFFAOYSA-N,2655-19-8,['2.2E+02'],['V'],[25.0]
oseltamivir,VSZGPKBBMSAYNT-RRFJBIMHSA-N,196618-13-0,['3.4E+10'],['Q'],[25.0]
"N,N-bis(2-hydroxyethyl)dodecanamide",AOMUHOFOVNGZAN-UHFFFAOYSA-N,120-40-1,['4.6E+06'],['Q'],[25.0]
"1,4-bis(methylamino)-9,10-anthracenedione",QOSTVEDABRQTSU-UHFFFAOYSA-N,2475-44-7,"['5.2E+04', '7.5E+06']","['V', 'Q']","[25.0, 25.0]"
metominostrobin,HIIRDDUVRXCDBN-SDXDJHTJSA-N,133408-50-1,"['2.5E+04', '8.6E+06']","['V', 'Q']","[25.0, 25.0]"
1-[(2-methoxyphenyl)azo]-2-naphthol,ALLOLPOYFRLCCX-VHEBQXMUSA-N,1229-55-6,['9.0E+04'],['Q'],[25.0]
furalaxyl,CIEXPHRYOLIQQD-UHFFFAOYSA-N,57646-30-7,['1.1E+04'],['?'],[25.0]
fenoxycarb,HJUFTIJOISQSKQ-UHFFFAOYSA-N,72490-01-8,"['2.3E+04', '2.5E+04', '2.3E+07', '1.2E+04', '8.4E+02', '8.4E+02', '3.0E+04']","['V', 'V', 'V', 'V', 'Q', 'Q', '?']","[25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]"
bifenazate,VHLKTXFWDRXILV-UHFFFAOYSA-N,149877-41-8,"['1.0E+03', '9.9E+02']","['X', '?']","[25.0, 25.0]"
napropamide,WXZVAROIGSFCFJ-UHFFFAOYSA-N,15299-99-7,"['1.2E+04', '1.2E+04']","['V', '?']","[25.0, 25.0]"
napropamide-M,WXZVAROIGSFCFJ-CYBMUJFWSA-N,41643-35-0,['3.8E+04'],['?'],[25.0]
padimate O,WYWZRNAHINYAEF-UHFFFAOYSA-N,21245-02-3,['2.5E+00'],['Q'],[25.0]
nadolol,VWPOSFSPZNDTMJ-UHFFFAOYSA-N,42200-33-9,['7.0E+08'],['Q'],[25.0]
"2,6-di-{\it tert}-butyl-4-(dimethylaminomethyl)phenol",VMZVBRIIHDRYGK-UHFFFAOYSA-N,88-27-7,"['4.8E+03', '2.4E+02', '1.3E+00', '4.8E+01']","['Q', 'Q', 'Q', 'Q']","[25.0, 25.0, 25.0, 25.0]"
mepronil,BCTQJXQXJVLSIG-UHFFFAOYSA-N,55814-41-0,"['8.4E+02', '4.7E+00']","['V', 'Q']","[25.0, 25.0]"
daimuron,NNYRZQHKCHEXSD-UHFFFAOYSA-N,42609-52-9,"['9.9E+03', '2.6E+01']","['V', 'Q']","[25.0, 25.0]"
naptalam,JXTHEWSKYLZVJC-UHFFFAOYSA-N,132-66-1,['2.3E+10'],['?'],[25.0]
citrus red 2,ULLJIFAIUSUJBP-ZZEZOPTASA-N,6358-53-8,['1.9E+07'],['Q'],[25.0]
kresoxim-methyl,ZOTBXTZVPHCKPN-UHFFFAOYSA-N,143390-89-0,"['2.7E+03', '2.8E+03']","['V', '?']","[25.0, 25.0]"
dinocap,RNDNTTTUTQAXII-GORDUTHDSA-N,39300-45-3,['2.1E+03'],['V'],[25.0]
orysastrobin,JHIPUJPTQJYEQK-ZLHHXESBSA-N,248593-16-0,['2.9E+05'],['?'],[25.0]
spiroxamine,PUYXTUJWRLOUCW-UHFFFAOYSA-N,118134-30-8,"['4.0E+02', '2.0E+02']","['?', '?']","[25.0, 25.0]"
capsaicin,YKPUWZUDDOIDPM-SOFGYWHQSA-N,404-86-4,['9.9E+07'],['Q'],[25.0]
mandestrobin,PDPWCKVFIFAQIQ-UHFFFAOYSA-N,173662-97-0,['1.5E+06'],['?'],[25.0]
dimoxystrobin,WXUZAHCNPWONDH-DYTRJAOYSA-N,149961-52-4,['2.2E+07'],['?'],[25.0]
($RS$)-$\alpha$-2-naphthoxypropionanilide,LVKTWOXHRYGDMM-UHFFFAOYSA-N,52570-16-8,"['1.6E+05', '7.5E+04']","['Q', 'Q']","[25.0, 25.0]"
phenylbutazone,VYMDGNCVAMGZFE-UHFFFAOYSA-N,50-33-9,['1.5E+03'],['Q'],[25.0]
phenisopham,PWEOEHNGYFXZLI-UHFFFAOYSA-N,57375-63-0,['1.3E+04'],['?'],[25.0]
formoterol,BPZSYCZIITTYBL-ORAYPTAESA-N,73573-87-2,['1.1E+17'],['Q'],[25.0]
benalaxyl-m,CJPQIRJHIZUAQP-MRXNPFEDSA-N,98243-83-5,['4.3E+03'],['?'],[25.0]
benalaxyl,CJPQIRJHIZUAQP-UHFFFAOYSA-N,71626-11-4,"['8.5E+01', '8.3E+01', '5.1E+01', '1.5E+02']","['V', 'V', 'Q', '?']","[25.0, 25.0, 25.0, 25.0]"
tralkoxydim,SOTLWPHEAQOHHC-UHFFFAOYSA-N,87820-88-0,['4.1E+04'],['V'],[25.0]
